erasmusCodeNormalized,pic,organisationLegalName,organisationLegalNameLang,displayName,displayNameLang,street,postalCode,city,cityLang,webpage
P  PORTIMA02,947313544,,,Instituto Superior Manuel Teixeira Gomes,pt,,,,,
P  ACORES01,998175688,Universidade dos Açores,pt,,,Rua da Mãe de Deus,9501-801,Ponta Delgada,pt,http://www.uac.pt
P  ALMADA05,949578494,Instituto Universitário Militar - Escola Naval,pt,,,"Base Naval de Lisboa, Alfeite",2810-001,Almada,pt,http://escolanaval.marinha.pt/pt
P  AMADORA01,900313358,,,Instituto Universitário Militar - Academia da Força Aérea,pt,,,,,
P  ARCOZEL01,971736495,Instituto Politécnico do Cávado e do Ave,pt,,,Campus do IPCA - Lugar do Aldão - Vila Frescainha S. Martinho,4750-810,Barcelos,pt,http://www.ipca.pt
P  AVEIRO01,999865331,Universidade de Aveiro,pt,,,Campus Universitário de Santiago,3810-193,Aveiro,pt,http://www.ua.pt
P  AVEIRO05,949585769,,,Instituto Superior de Entre Douro e Vouga,pt,,,,,
P  AVEIRO07,950380490,,,Instituto Superior de Ciências da Informação e da Administração,pt,,,,,
P  BARCARE01,997380385,,,Atlântica - Instituto Universitário,pt,,,,,
P  BEJA01,986224803,Instituto Politécnico de Beja,pt,,,"Rua Pedro Soares, S/N. Campus do IPBeja – Apartado 6155",7800-295,Beja,pt,http://www.ipbeja.pt
P  BRAGA01,999995505,Universidade do Minho,pt,,,Largo do Paço,4704-553,Braga,pt,http://www.uminho.pt
P  BRAGA02,889517452,,,ISAVE - Instituto Superior de Saúde,pt,,,,,
P  BRAGANC01,998482208,Instituto Politécnico de Bragança,pt,,,Campus de Santa Apolónia,5300-253,Bragança,pt,http://www.ipb.pt
P  CASTELO01,986762086,Instituto Politécnico de Castelo Branco,pt,,,"Av. Pedro Álvares Cabral, n.º 12",6000-084,Castelo Branco,pt,http://www.ipcb.pt
P  COIMBRA01,997826391,Universidade de Coimbra,pt,,,Paço das Escolas,3004-531,Coimbra,pt,http://www.uc.pt
P  COIMBRA02,972374658,Instituto Politécnico de Coimbra,pt,,,"Av. Marnoco e Sousa, n.º 30",3000-271,Coimbra,pt,http://www.ipc.pt
P  COIMBRA05,949309028,Instituto Superior Miguel Torga,pt,,,"Largo da Cruz de Celas, n.º 1",3000-132,Coimbra,pt,http://www.ismt.pt
P  COIMBRA22,949248694,,,Escola Universitária Vasco da Gama,pt,,,,,
P  COIMBRA24,943294931,Escola Superior de Enfermagem de Coimbra,pt,,,"Rua 5 de Outubro, Apartado 7001",3046-851,Coimbra,pt,http://www.esenfc.pt/
P  COVILHA01,996437254,Universidade da Beira Interior,pt,,,Convento de Santo António,6201-001,Covilhã,pt,http://www.ubi.pt
P  ESTORIL01,950828824,Escola Superior de Hotelaria e Turismo do Estoril,pt,,,"Av. Condes de Barcelona, 808",2769-510,"Estoril, Cascais",pt,http://www.eshte.pt
P  ESTORIL02,968264186,,,Escola Superior de Saúde do Alcoitão,pt,,,,,
P  EVORA01,998269196,Universidade de Évora,pt,,,"Colégio do Espírito Santo, Largo dos Colegiais, 2",7004-516,Évora,pt,http://www.uevora.pt/
P  FARO02,999863003,Universidade do Algarve,pt,,,Campus da Penha,8005-139,Faro,pt,http://www.ualg.pt/
P  FUNCHAL03,996740088,Universidade da Madeira,pt,,,Colégio dos Jesuítas - Rua dos Ferreiros,9000-082,Funchal,pt,http://www.uma.pt
P  FUNCHAL08,949464713,,,Instituto Superior de Administração e Línguas,pt,,,,,
P  FUNCHAL09,949655221,,,Escola Superior de Enfermagem de S. José de Cluny,pt,,,,,
P  GUARDA01,984924130,Instituto Politécnico da Guarda,pt,,,"Av. Dr. Francisco Sá Carneiro, n.º 50",6300-559,Guarda,pt,http://www.ipg.pt
P  LEIRIA01,996273421,Instituto Politécnico de Leiria,pt,,,"Rua General Norton de Matos, Apartado 4133",2411-901,Leiria,pt,http://www.ipleiria.pt
P  LISBOA01,999907623,Universidade Católica Portuguesa,pt,,,Palma de Cima,1649-023,Lisboa,pt,http://www.ucp.pt
P  LISBOA03,960782479,Universidade Nova de Lisboa,pt,,,Campus de Campolide,1099-085,Lisboa,pt,http://www.unl.pt
P  LISBOA05,947936284,Instituto Politécnico de Lisboa,pt,,,"Estrada de Benfica, 529",1549-020,Lisboa,pt,http://www.ipl.pt
P  LISBOA07,998622567,ISCTE - Instituto Universitário de Lisboa,pt,,,Av.ª das Forças Armadas,1649-026,Lisboa,pt,http://www.iscte-iul.pt
P  LISBOA08,949281577,,,Universidade Europeia,pt,,,,,
P  LISBOA104,998903576,,,ISEC Lisboa - Instituto Superior de Educação e Ciências,pt,,,,,
P  LISBOA106,949419220,Escola Superior de Enfermagem de Lisboa,pt,,,"Avenida do Brasil, 53 - B",1700-063,Lisboa,pt,http://www.esel.pt/
P  LISBOA109,949885305,Universidade de Lisboa,pt,,,"Alameda da Universidade, Cidade Universitária",1649-004,Lisboa,pt,http://www.ulisboa.pt
P  LISBOA11,949427853,,,Universidade Autónoma de Lisboa Luís de Camões,pt,,,,,
P  LISBOA110,949017640,,,Instituto Português de Administração de Marketing de Lisboa,pt,,,,,
P  LISBOA111,949448902,Escola Superior Náutica Infante D. Henrique,pt,,,Av. Eng. Bonneville Franco,2770-058,"Paço De Arcos, Oeiras",pt,http://www.enautica.pt
P  LISBOA112,938982796,,,Instituto Superior de Tecnologias Avançadas de Lisboa,pt,,,,,
P  LISBOA115,938946615,,,Escola Superior de Actividades Imobiliárias,pt,,,,,
P  LISBOA116,942794411,,,Escola Superior de Educação de João de Deus,pt,,,,,
P  LISBOA118,920515548,,,Academia Nacional Superior de Orquestra,pt,,,,,
P  LISBOA12,949674621,,,Universidade Lusíada,pt,,,,,
P  LISBOA15,946479344,,,Instituto Superior de Gestão,pt,,,,,
P  LISBOA17,983668465,,,"ISPA-Instituto Universitário de Ciências Psicológicas, Sociais e da Vida",pt,,,,,
P  LISBOA43,961622402,Universidade Aberta,pt,,,"Palácio Ceia, Rua da Escola Politécnica, 141-147",1269-001,Lisboa,pt,http://www.uab.pt
P  LISBOA52,997605425,,,Universidade Lusófona de Humanidades e Tecnologias,pt,,,,,
P  LISBOA97,949790730,,,ISCE - Instituto Superior de Lisboa e Vale do Tejo,pt,,,,,
P  MATOSIN01,986162044,,,Escola Superior de Artes e Design,pt,,,,,
P  PORTALE01,949379741,Instituto Politécnico de Portalegre,pt,,,Praça do Município - Apartado 84,7301-901,Portalegre,pt,http://www.ipportalegre.pt
P  PORTO02,999894916,Universidade do Porto,pt,,,Praça Gomes Teixeira,4099-002,Porto,pt,http://www.up.pt/
P  PORTO05,991473861,Instituto Politécnico do Porto,pt,,,"Rua Dr. Roberto Frias, 712",4200-465,Porto,pt,http://www.ipp.pt
P  PORTO07,949569861,,,Universidade Portucalense Infante D. Henrique,pt,,,,,
P  PORTO08,949610504,,,Escola Superior Artística do Porto,pt,,,,,
P  PORTO11,949054500,,,Instituto Superior de Serviço Social do Porto,pt,,,,,
P  PORTO16,949336285,,,Instituto Superior de Administração e Gestão,pt,,,,,
P  PORTO21,949197090,,,Escola Superior de Educação de Paula Frassinetti,pt,,,,,
P  PORTO25,959226405,Escola Superior de Enfermagem do Porto,pt,,,Rua Dr. António Bernardino de Almeida,4200-072,Porto,pt,http://www.esenf.pt/pt/
P  PORTO29,938774440,,,Instituto Português de Administração de Marketing do Porto,pt,,,,,
P  PORTO42,949376928,,,Instituto Superior de Ciências Empresariais e do Turismo,pt,,,,,
P  PORTO59,949353066,,,Escola Superior de Saúde de Santa Maria,pt,,,,,
P  SANTARE01,972512495,Instituto Politécnico de Santarém,pt,,,"Complexo Andaluz, Apartado 279",2001-904,Santarém,pt,http://www.ipsantarem.pt
P  SANTARE06,947092675,,,ISLA - Instituto Superior de Gestão e Administração de Santarém,pt,,,,,
P  SETUBAL01,995304003,Instituto Politécnico de Setúbal,pt,,,"Edifício Sede - Campus do IPS, Estefanilha",2910-761,Setúbal,pt,http://www.ips.pt
P  TOMAR01,949034033,Instituto Politécnico de Tomar,pt,,,Quinta do Contador - Estrada da Serra,2300-330,Tomar,pt,http://www.ipt.pt
P  VIANA-D01,998454563,Instituto Politécnico de Viana do Castelo,pt,,,"Praça General Barbosa, Apartado 51",4901-909,Viana do Castelo,pt,http://www.ipvc.pt
P  VILANOV01,946887714,,,ISLA - Instituto Politécnico de Gestão e Tecnologia,pt,,,,,
P  VILANOV02,949536396,Instituto Superior Politécnico Gaya,pt,,,"Av. dos Descobrimentos, 333 - Santa Marinha",4400-103,Vila Nova de Gaia,pt,http://www.ispgaya.pt
P  VILANOV07,938769590,,,Escola Superior de Negócios Atlântico,pt,,,,,
P  VILA-RE01,998289081,Universidade de Trás-os-Montes e Alto Douro,pt,,,"Quinta de Prados, Apartado 1013",5001-801,Vila Real,pt,http://www.utad.pt/
P  VISEU01,949457438,Instituto Politécnico de Viseu,pt,,,"Av. Coronel José Maria Vale de Andrade, Campus Politécnico",3504-510,Viseu,pt,http://www.ipv.pt
P  LISBOA103,893936772,,,Instituto Politécnico da Lusofonia,pt,,,,,
P  LISBOA114,938751257,,,Instituto Superior D. Dinis,pt,,,,,
